FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1706,1169775,POINT (16.355245707132617 48.2312294977504),PA Latschkagasse,9,"Klettern, Rutschen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1707,1169776,POINT (16.400239950594433 48.21215840180206),Prater - Zirkuswiese,2,"BMX, Beachvolleyball, Drehen, Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Skaten, Slackline, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1708,1169777,POINT (16.401829512915633 48.21098770391188),Prater - Zirkuswiese,2,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1709,1169778,POINT (16.417413504646134 48.18063351865754),PA Lorenz-Reiter-Straße,11,"Basketball, Fußball, Klettern, Rutschen, Schaukeln, Seilbahn, Tischtennis","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_170a,1169779,POINT (16.378022977787175 48.16664789869921),Hebbelpark,10,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_170b,1169780,POINT (16.453076366231063 48.23733671969776),PA Polgarstraße,22,"Hängematte, Rutschen, Sand-Match, Sandspielen, Schaukeln, Skaten, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Skaterpark",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_170c,1169781,POINT (16.367466630982122 48.23572137786722),PA Leipziger Platz,20,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_170d,1169782,POINT (16.49728485757951 48.225211942424394),Yella-Hertzka-Park,22,Bewegung,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_170e,1169783,POINT (16.502500184612497 48.227718154441625),Yella-Hertzka-Park,22,Wasserspiel,Wasserspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_170f,1169784,POINT (16.497714899043473 48.226052600186485),Yella-Hertzka-Park,22,"Balancieren, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wasserspiel, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1710,1169785,POINT (16.3287712728713 48.20721573632506),GA Koppstraße,16,Wippen,Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1711,1169786,POINT (16.385706390630144 48.185120216667876),Schweizergarten,3,"Fussball, Fußball",Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1712,1169787,POINT (16.38714221612159 48.18644944818113),Schweizergarten,3,"Drehen, Klettern, Rodelhügel, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wasserspiel, Wippen","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1713,1169788,POINT (16.387159942362533 48.1875205745795),Schweizergarten,3,"Calisthenics, Slacklining, Tischtennis, Trampolin","Ballspielplatz, Generationenspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1714,1169789,POINT (16.38902791799782 48.187742075834976),Schweizergarten,3,"Drehen, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1715,1169790,POINT (16.441134031781885 48.24089189312337),PA Bernoullistraße,22,"Klettern, Rutschen, Sandspielen, Schaukeln, Wasserspiel, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1716,1169791,POINT (16.357612700234633 48.25215549328045),Rothschildgarten,19,"Rutschen, Sandspielen, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1717,1169792,POINT (16.35817496111398 48.25147035153194),Rothschildgarten,19,Steetball,Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1718,1169793,POINT (16.308125842848078 48.22129568693372),Kongreßpark,16,"Klettern, Rutschen, Sandspielen, Schaukeln, Sinnesspiel, Slackline, Wippen","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1719,1169794,POINT (16.308045875387435 48.222266512924065),Kongreßpark,16,"Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_171a,1169795,POINT (16.308522152624715 48.223027858380284),Kongreßpark,16,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_171b,1169796,POINT (16.30948639373142 48.22136651156931),Kongreßpark,16,Boccia,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_171c,1169797,POINT (16.332488010748232 48.1902216815023),PA Henriettenplatz,15,"Balancieren, Basketball, Drehen, Fitness, Fußball, Klettern, Schaukeln","Ballspielkäfig, Generationenspielplatz",
