FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_174f,1169848,POINT (16.510150469201115 48.231115623538756),Elinor-Ostrom-Park,22,"Balancieren, Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Wippe, Wippen","Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1750,1169849,POINT (16.51004625962251 48.22980190957417),Elinor-Ostrom-Park,22,"Balancieren, Fahrradparcour, Fitness, Klettern, Slackline","Generationenspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1751,1169850,POINT (16.411458461790634 48.21785899838781),Elisabeth-Ben David-Hindler-Park,2,"Klettern, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1752,1169851,POINT (16.389957506633927 48.15822342702954),PA Endlichergasse,10,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1753,1169852,POINT (16.282780544294162 48.20566987266052),PA Antaeusgasse,14,"Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1754,1169853,POINT (16.352517547469013 48.153320370161694),Johann-Benda-Park,10,"Drehen, Klettern, Matschbereich, Rutschen, Sandkiste, Schaukeln, Seilbahn",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1755,1169854,POINT (16.353842027356954 48.15328169408713),Johann-Benda-Park,10,Beachvolleyball,Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1756,1169855,POINT (16.356416018456528 48.1531715737692),Johann-Benda-Park,10,"Klettern, Rutschen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1757,1169856,POINT (16.314472780176754 48.22501199975471),PA Dr.-Josef-Resch-Platz,17,"Klettern, Reck, Rutschen, Sandkspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1758,1169857,POINT (16.390863489441866 48.20455403494945),Czapkapark,3,", Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1759,1169858,POINT (16.391648307837904 48.20511443032534),Czapkapark,3,Fußball,Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_175a,1169859,POINT (16.466024846702332 48.15170210162933),PA Csokorgasse,11,"Balancieren, Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_175b,1169860,POINT (16.360944772555225 48.17454799752657),Barankapark-Hellerwiese,10,"Drehen, Fußball, Hängematte, Klettern, Sandspielen, Schaukeln, Spielhaus, Streetball, Wippen","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_175c,1169861,POINT (16.41545008631689 48.18092182471808),PA Fuchsröhrenstraße,11,"Drehen, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_175d,1169862,POINT (16.317853790104294 48.2453216131306),PA Kranlweg,19,"Klettern, Rutschen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_175e,1169863,POINT (16.3858711794413 48.22510948912844),Else-Feldmann-Park,2,"Fitness, Klettern, Sandspielen, Schaukeln, Wippen","Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_175f,1169864,POINT (16.372203585593027 48.218279976963956),Wilhelm-Kienzl-Park,2,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1760,1169865,POINT (16.334349148627513 48.22121738598264),GA Dornerplatz,17,"Drehen, Trampolin, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1761,1169866,POINT (16.393585305041324 48.23589535920332),Rechter Donaudamm Spielplatz 3,20,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1762,1169867,POINT (16.376367870371087 48.23211050866946),Sachsenpark,20,"Basketball, Brettspiel, Fitness, Fußball, Karussell, Klettern, Sandspielen, Schaukeln, Seilbahn, Sinnesspiel, Wippen","Ballspielkäfig, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1763,1169868,POINT (16.373409640123405 48.169981732367894),PA Suchenwirtplatz,10,"Balancieren, Basketball, Fußball, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1764,1169869,POINT (16.47443935495167 48.222715099714215),GA Wonkaplatz,22,"Boccia, Drehen, Karussell, Wasserspiel","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1765,1169870,POINT (16.3924276312321 48.203504139729446),Grete-Jost-Park,3,"Hängematte, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1766,1169871,POINT (16.298673123293913 48.19670031346563),GA Rottstraße,14,"Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1767,1169872,POINT (16.417537266020666 48.23113435979559),PA Weissauweg,22,"Balancieren, Basketball, Fußball, Hängematte, Volleyball","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1768,1169873,POINT (16.418705795876136 48.231497567932266),PA Weissauweg,22,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1769,1169874,POINT (16.47230109271777 48.246051557798985),Jakob-Bindel-Park,22,"Basketball, Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wasserspiel, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_176a,1169875,POINT (16.35977890535159 48.21586613670472),Votivpark,9,"Klettern, Rutschen, Sand-Matsch, Schaukeln, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_176b,1169876,POINT (16.30865768063431 48.241052907257924),Pötzleinsdorfer Schloßpark,18,"Basketball, Beachvolleyball, Fitness, Fußball, Hängematte, Karussell, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Seilbahn, Spieltier, Trampolin, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_176c,1169877,POINT (16.302046558122782 48.24316016212807),Pötzleinsdorfer Schloßpark,,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_176d,1169878,POINT (16.331651281852896 48.19065107322444),Rosa-Barach-Park,15,Streicheltier,Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_176e,1169879,POINT (16.46068689386791 48.231357446795194),PA Oase 22,22,"Hängematte, Klettern, Reck, Rutschen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_176f,1169880,POINT (16.362121007363594 48.2563933424703),PA Steinbüchlweg,19,"Klettern, Rutschen, Sandspielen, Sinnesspiel, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1770,1169881,POINT (16.52202345379527 48.21326397876101),PA Colerusgasse,22,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1771,1169882,POINT (16.397875258630283 48.137238951409465),PA Bischofplatz,10,"Drehen, Klettern, Rutschen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1772,1169883,POINT (16.281010425880655 48.16585231985654),Andreas-Rett-Park,13,"Karussell, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1773,1169884,POINT (16.28748453917982 48.18508052919033),Hügelpark,13,"Balancieren, Drehen, Fußballplatz, Hüpfen, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1774,1169885,POINT (16.338712609959913 48.22576151581245),Schubertpark,18,Balancieren,Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1775,1169886,POINT (16.339179816924563 48.2268385649642),Schubertpark,18,", Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltier, Streetball, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1776,1169887,POINT (16.382418659481168 48.1997761716972),Modenapark,3,"Basketball, Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1777,1169888,POINT (16.337834531147102 48.193486849507025),PA Maria vom Siege,15,Balancieren,Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1778,1167625,POINT (16.27162715609705 48.190169598135384),Streckerpark,13,"Fitnessgerät, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1779,1167626,POINT (16.40547304436183 48.27665899070876),PA Haspingerplatz,21,"Fitness, Holzpyramide, Hängematte, Klettern, Rutsche, Rutschen, Sandspielen, Schaukel, Schaukeln, Seilbahn, Trampolin, Wasserspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_177a,1167627,POINT (16.319129079267487 48.19399716554068),PA Wieningerplatz,15,"Basketball, Fitness, Fußball, Hängematte, Klettern, Rutschen, Sandspielen, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_177b,1167628,POINT (16.363704953964152 48.196371760039035),Planquadrat Park,4,", BMX, Balancieren, Karussell, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_177c,1167629,POINT (16.336484010039282 48.1957644790737),GA Langauergasse,15,"Spieltier, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_177d,1167630,POINT (16.275687975302443 48.13497319830381),PA Elisenstraße,23,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_177e,1167631,POINT (16.40128526022112 48.21312018693774),Prater - Meiereiwiese,2,"Balancieren, Hüpfen, Karussell, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_177f,1167632,POINT (16.349891945550574 48.18601571279293),Einsiedlerpark,5,", Balancieren, Basketball, Fußball, Klettern, Rutsche, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1780,1167633,POINT (16.450197965439063 48.25515116983672),PA Ferdinand-Stransky-Weg,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1781,1167634,POINT (16.30016653608557 48.19489078035118),Matzner-Park,14,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1782,1167635,POINT (16.303121945609035 48.19573636156288),Matzner-Park,14,"Basketball, Fußball, Klettern, Malen, Reck, Rutschen, Sandspielen, Schaukeln, Trampolin, Wippen","Ballspielkäfig, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1783,1167636,POINT (16.282064929316423 48.168661250913075),Oscar-Straus-Park,13,"Drehen, Karussell, Klettern, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1784,1167637,POINT (16.396481226091243 48.22592991271787),Rudolf-Bednar-Park,2,"Balancieren, Basketball, Karussell, Klettern, Reck, Rutschen, Schaukeln, Skaten, Tischtennis, Volleyball, Wippen","Ballspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1785,1167638,POINT (16.397663113077552 48.226619833020976),Rudolf-Bednar-Park,2,"Balancieren, Fitness, Karussell, Klettern, Rutschen, Sand-Matsch, Schaukeln, Spielhaus, Wasserspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1786,1167639,POINT (16.40137211984817 48.19310813609623),Pauluspark,3,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1787,1167640,POINT (16.335275942574203 48.213508321846874),PA Yppenplatz,16,"Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukel, Themenspiel Obst/Markt, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1788,1167641,POINT (16.531998198003265 48.24949053808553),PA Breitenleer Straße,22,"Karussell, Klettern, Rutschen, Wippe",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1789,1167642,POINT (16.379157590006688 48.15249119096934),PA Rädda-Barnen-Platz,10,"Klettern, Rutschen, Sandkasten, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_178a,1167643,POINT (16.378202387878602 48.21436064473444),Manes-Sperber-Park,2,"Balancieren, Basketball, Fußball, Karussell, Sand-Matsch, Sandspielen, Schaukeln, Volleyball","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_178b,1167644,POINT (16.394506697403603 48.17183901903983),PA Quellenstraße,10,"Basketball, Fitnessgerät, Fußball, Klettern, Reck, Rutschen, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_178c,1167645,POINT (16.326794551147515 48.16467666840343),Miep-Gies-Park,12,"Balancieren, Fitnessgeräte, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltisch, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_178d,1167646,POINT (16.38085241970353 48.15487265315444),PA Fingergasse,10,"Basketball, Fußball",Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_178e,1167647,POINT (16.302394031635476 48.192398348770695),Eduard-Gurk-Park,14,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_178f,1167648,POINT (16.33906666848341 48.19413577884224),GA Mariahilfer Gürtel,15,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1790,1167649,POINT (16.36504852651358 48.198105632750966),GA Kühnplatz,4,"Rutschen, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1791,1167650,POINT (16.35249766185952 48.22952859820211),Helene-Deutsch-Park,9,"Balancieren, Basketball, Drehen, Fußball, Klettern, Rutschen, Schaukeln, Volleyball, Wasserspiel","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1792,1167651,POINT (16.327346112204506 48.20992982585372),Richard-Wagner-Park,16,"Basketball, Drehen, Fitness, Fußball, Hüpfen, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1793,1167767,POINT (16.376248400264895 48.14817608063296),PA Per-Albin-Hansson-Straße,10,"Klettern, Rutschen, Schaukeln, Spielhaus",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1794,1167768,POINT (16.378299493241407 48.1482877341585),PA Per-Albin-Hansson-Straße,10,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1795,1167769,POINT (16.33853314859808 48.1850402195181),PA Haebergasse,12,"Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Wippen","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1796,1167770,POINT (16.35856206994607 48.17239283158867),Fortunapark,10,"Basketball, Calisthenics, Fußball, Klettern, Rutschen, Sandspielen, Seilbahn, Tischtennis, Wippen","Ballspielkäfig, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1797,1167771,POINT (16.34582993296423 48.22365888306466),Vilma-Degischer-Park,18,"Klettern, Rutschen, Schach, Schaukeln","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1798,1167772,POINT (16.312318868927985 48.23105591956466),Moriz-Mayer-Park,17,Wippen,Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1799,1167773,POINT (16.31810891282073 48.21452386836951),PA Familienplatz,16,"Balancieren, Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_179a,1167774,POINT (16.33327581012572 48.18181748464787),Hermann-Leopoldi-Park,12,"Basketball, Boccia, Fußball, Klettern, Rutschen, Sandspiel, Schaukeln, Volleyball","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_179b,1167775,POINT (16.321273234889155 48.224231153767164),Clemens-Krauss-Park,17,", Karussell, Rutschen, Sandspielen, Spielhaus, WIppen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_179c,1167776,POINT (16.393928626778763 48.2188697984435),Venediger-Au-Park,2,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_179d,1167777,POINT (16.396239657970007 48.21931068964848),Venediger-Au-Park,2,"Balancieren, Drehen, Karussell, Klettern, Rutschen, Sand-Matsch, Schaukeln, Seilbahn, Spieltier, Wasserspiel, Wasserspielmöglichkeit, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_179e,1167778,POINT (16.395809761583006 48.218595051006076),Venediger-Au-Park,2,"Streetball, Tischtennis",Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_179f,1167779,POINT (16.404233558850617 48.19596378517655),Bock-Park,3,"Klettern, Schaukeln, Streetball","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a0,1167780,POINT (16.292197491263025 48.14820496071857),Bruno-Morpurgo-Park,23,"Balancieren, Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Volleyball, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a1,1167781,POINT (16.331248611947885 48.17357030371833),PA Schedifkaplatz,12,"Calisthenics, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen","Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a2,1167782,POINT (16.33271447930533 48.150222966514676),Inzersdorfer Schubertpark,23,Skaten,Skaterpark,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a3,1167783,POINT (16.35913932392217 48.24006963855242),PA Weilgasse,19,"Balancieren, Fitness, Wippen","Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a4,1167784,POINT (16.445257565928657 48.271872353529446),PA Else-Feldmann-Promenade,21,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltier, Wasserspiel, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a5,1167785,POINT (16.41497028082519 48.29141375120574),PA Lüssenpromenade,21,"Balancieren, Drehen, Fitness, Fußball, Hängematte, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Skaten, Spieltier, Streetball, Tischtennis, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a6,1167786,POINT (16.306000778548764 48.205958690307135),GA Lorenz-Mandl-Gasse,16,"Balancieren, Klettern, Rutschen, Schaukeln, Slacklining, Wippen","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a7,1167787,POINT (16.333692266576463 48.18657897183325),Ignaz-Kuranda-Park,15,"Balancieren, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Wasserspiel, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a8,1167788,POINT (16.389464651656386 48.29529629955012),Helma-Pavlis-Park,21,"Drehen, Karussell, Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17a9,1167789,POINT (16.33205150821293 48.19426619354369),PA Rosinagasse,15,"Klettern Rutschen, Sandspielen, Schaukenl, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17aa,1167790,POINT (16.39297111016785 48.144989612506784),PA Franz-Koci-Straße,10,"Basketball, Fußball, Volleyball",Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17ab,1167791,POINT (16.41482848019448 48.21903886811269),Rechter Donaudamm Spielplatz 2,2,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17ac,1167792,POINT (16.496894251275897 48.17336234923672),Linker Donaudamm Spielplatz 5,22,"Beachvolleyball, Karussell, Schaukeln, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17ad,1167793,POINT (16.406647439759112 48.247102184295194),PA Dragonerhäufel,21,"Basketball, Beachvolleyball, Tischtennis",Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17ae,1167794,POINT (16.30816263341467 48.20943223954649),PA Wiesberggasse,16,"Balancieren, Basketball, Fitness, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17af,1167795,POINT (16.34543150260293 48.20882129029875),Tigerpark,8,"Balancieren, Reck, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b0,1167796,POINT (16.391385963945666 48.28949716191173),PA Mühlweg,21,"Drehen, Fußball, Hängematte, Karussell, Klettern, Rutschen, Sand-Matsch, Schaukeln, Skaten, Wasserspiel, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b1,1167652,POINT (16.468069004813817 48.23444924047332),PA Kartouschgasse,22,"Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b2,1167653,POINT (16.46843024068845 48.23373441245069),PA Kartouschgasse,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b3,1167654,POINT (16.42163468519846 48.254465076128085),PA Carminweg,21,"Fitness, Hängematte, Trampolin, Volleyball","Ballspielplatz, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b4,1167655,POINT (16.414887241022274 48.16677114483761),Luise-Montag-Park,11,Rodelhügel,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b5,1167656,POINT (16.416136185470418 48.16751412149253),Luise-Montag-Park,11,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b6,1167657,POINT (16.417123082817486 48.16802521031996),Luise-Montag-Park,11,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b7,1167658,POINT (16.336194598023685 48.19868144778123),Pelzgasse,,Spieltisch,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b8,1167659,POINT (16.422524711618145 48.27576846564873),PA Pfendlergasse,21,"Fitness, Fußball","Ballspielplatz, Generationenspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17b9,1167660,POINT (16.39081580143641 48.223041144309086),Franziska-Löw-Park,2,"Fitness, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Streetball, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17ba,1167661,POINT (16.376621127511928 48.20177625289285),PA Beethovenplatz,1,"Basketball, Tischtennis","Ballspielkäfig, Ballspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_17bb,1167662,POINT (16.32848979281514 48.17291438626117),Theodor-Körner-Park,12,"Karussell, Klettern, Schaukeln, Volleyball, Wasserspiel","Ballspielplatz, Spielplatz, Wasserspielplatz",
